epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.57815,0.29065,0.21708,0.9443,0.99831,0.98507,0.9877,0.95925,0.43723,0.23781,1.04438,0.0928,0.0008,0.0008
2,8.50879,0.31697,0.2508,0.95179,1,0.99953,0.995,0.9542,0.44163,0.30351,1.02625,0.0846832,0.00168317,0.00168317
3,12.4166,0.30534,0.22717,0.97744,0.99963,1,0.995,0.94844,0.48965,0.25966,1.0311,0.0765485,0.00254852,0.00254852
4,16.3474,0.33723,0.25476,0.96999,0.99898,0.98507,0.99348,0.88906,0.5337,0.3052,1.11723,0.0683961,0.00339605,0.00339605
5,20.2683,0.34996,0.27574,0.98455,0.99793,0.98507,0.98595,0.90124,0.59966,0.3725,1.17643,0.0602258,0.00422576,0.00422576
6,24.1995,0.41044,0.30665,0.99972,0.9556,0.96372,0.98106,0.89564,0.71815,0.50499,1.34362,0.0520377,0.00503765,0.00503765
7,28.1418,0.38401,0.30184,0.99485,0.99727,0.92537,0.97426,0.92649,0.59532,0.49244,1.29884,0.0438317,0.00583172,0.00583172
8,32.0717,0.38619,0.30027,0.99798,1,0.93452,0.9784,0.85891,0.6353,0.48368,1.38772,0.035608,0.00660797,0.00660797
9,36.0375,0.40203,0.29872,1.00576,0.99936,0.9403,0.98204,0.71498,1.0286,0.67779,2.25428,0.0273664,0.0073664,0.0073664
10,39.9597,0.38448,0.33007,1.05486,0.98484,0.96977,0.98107,0.71153,1.104,0.92379,2.41268,0.019107,0.00810701,0.00810701
11,43.8865,0.4324,0.33316,1.00025,0.99366,0.97015,0.99091,0.80375,0.76121,0.54982,1.74934,0.0108298,0.0088298,0.0088298
12,47.8507,0.43055,0.35574,1.01884,0.9702,1,0.99442,0.81434,0.74814,0.48717,1.58049,0.008911,0.008911,0.008911
13,51.8044,0.40487,0.31549,1.01949,0.94292,0.55224,0.63169,0.41168,1.55596,1.51112,2.47165,0.008812,0.008812,0.008812
14,55.7519,0.43739,0.32394,1.0333,0.98707,0.59701,0.70495,0.54131,1.179,1.23899,1.73318,0.008713,0.008713,0.008713
15,59.6955,0.40445,0.30438,1.00072,1,0.93964,0.99297,0.84895,0.81363,0.76611,1.54383,0.008614,0.008614,0.008614
16,63.6577,0.40584,0.31645,0.99039,0.99934,1,0.995,0.90162,0.59568,0.37847,1.22843,0.008515,0.008515,0.008515
17,67.6017,0.40984,0.31796,1.01292,0.99901,1,0.995,0.93306,0.57618,0.33649,1.15333,0.008416,0.008416,0.008416
18,71.5793,0.40652,0.31269,1.00595,0.9992,1,0.995,0.88777,0.67294,0.35912,1.33785,0.008317,0.008317,0.008317
19,75.5465,0.39724,0.3085,1.00133,0.99966,1,0.995,0.86801,0.72268,0.40931,1.44091,0.008218,0.008218,0.008218
20,79.5245,0.4121,0.3219,1.02462,0.99667,0.9403,0.99202,0.90894,0.55729,0.48783,1.14119,0.008119,0.008119,0.008119
21,83.4784,0.39245,0.32929,0.99535,0.9846,0.95437,0.98439,0.89488,0.61903,0.51454,1.22923,0.00802,0.00802,0.00802
22,87.4676,0.40559,0.32921,1.02473,0.98622,0.98507,0.98529,0.92626,0.56666,0.53666,1.18744,0.007921,0.007921,0.007921
23,91.444,0.43584,0.32405,1.03672,0.99755,0.98507,0.98534,0.93219,0.47577,0.40123,1.16388,0.007822,0.007822,0.007822
24,95.4072,0.421,0.31597,1.03384,0.99571,0.98507,0.99015,0.91182,0.52635,0.40573,1.22891,0.007723,0.007723,0.007723
25,99.3625,0.39083,0.3137,1.01204,0.99747,0.98507,0.99431,0.94181,0.46456,0.32239,1.10334,0.007624,0.007624,0.007624
26,103.313,0.40808,0.3096,1.01444,1,0.99697,0.995,0.92043,0.46529,0.32964,1.08062,0.007525,0.007525,0.007525
27,107.283,0.39542,0.30452,1.018,1,0.99772,0.995,0.91993,0.50863,0.37701,1.13431,0.007426,0.007426,0.007426
28,111.256,0.37808,0.29842,1.00368,0.99881,1,0.995,0.92407,0.55113,0.39081,1.16155,0.007327,0.007327,0.007327
29,115.204,0.39909,0.31453,0.99697,0.99985,1,0.995,0.94979,0.41018,0.27717,1.0586,0.007228,0.007228,0.007228
30,119.167,0.39072,0.30146,1.03022,1,0.99966,0.995,0.97582,0.39702,0.25076,1.03869,0.007129,0.007129,0.007129
31,123.144,0.37785,0.28781,0.98227,1,0.99863,0.995,0.93869,0.39161,0.25303,1.06084,0.00703,0.00703,0.00703
32,127.096,0.37249,0.2862,0.99503,0.99604,1,0.995,0.95236,0.40802,0.29633,1.04466,0.006931,0.006931,0.006931
33,131.057,0.38649,0.30997,1.00753,1,0.99961,0.995,0.94551,0.43265,0.27697,1.04363,0.006832,0.006832,0.006832
34,135.01,0.38861,0.30048,0.99091,0.99809,0.98507,0.99485,0.94471,0.38927,0.24041,1.00889,0.006733,0.006733,0.006733
35,138.966,0.37138,0.30056,1.00699,0.98839,0.98507,0.99457,0.93828,0.42267,0.27972,1.07609,0.006634,0.006634,0.006634
36,142.965,0.35031,0.27461,0.96536,1,0.99883,0.995,0.94038,0.39778,0.2808,1.00249,0.006535,0.006535,0.006535
37,146.925,0.38134,0.27986,0.9749,1,0.99894,0.995,0.93439,0.48148,0.31508,1.02992,0.006436,0.006436,0.006436
